,base,GenSR,Sublex_Score
2685,x-u-gj-e-z,x-u-g-z-a,0.1250995815309268
2902,pj-i-g-o-z,pj-i-g-z-a,0.1872565296478106
3119,t-u-gj-e-z,t-u-g-z-a,0.1250995815309268
3120,r-a-gj-e-z,r-a-g-z-a,0.1657572580813796
3345,g-a-gj-e-z-g,g-a-g-z-g-a,
3346,tj-i-g-o-z-g,tj-i-g-z-g-a,1.0653092497e-06
3347,x-a-gj-e-z-g,x-a-g-z-g-a,
3348,k-u-g-zj-e-g,k-u-g-z-g-a,0.0005337761664757
3349,zh-u-g-zj-e-g,zh-u-g-z-g-a,0.0005337761664757
3350,gj-e-z-g,g-z-g-a,
3351,r-u-g-o-z-d,r-u-g-z-d-a,2.668714986313599e-07
3352,gj-i-g-z-o-d,gj-i-g-z-d-a,0.00011883151135509999
3353,rj-i-g-z-o-d,rj-i-g-z-d-a,0.00011883151135509999
3354,k-a-g-z-o-d,k-a-g-z-d-a,0.00011883151135509999
3355,k-u-g-z-o-d,k-u-g-z-d-a,0.00011883151135509999
3356,tj-i-gj-e-z-d,tj-i-g-z-d-a,
3357,zh-u-gj-e-z-d,zh-u-g-z-d-a,
3358,g-u-g-o-z-d,g-u-g-z-d-a,2.668714986313599e-07
3359,g-zj-e-zh,g-z-zh-a,7.886045951051322e-07
3367,zh-a-gj-e-z-zh,zh-a-g-z-zh-a,
3376,gj-e-z-zh,g-z-zh-a,
3377,gj-i-g-o-z-m,gj-i-g-z-m-a,8.3931176106e-06
3378,zh-u-g-zj-e-m,zh-u-g-z-m-a,0.0018792505845065
3379,gj-e-z-m,g-z-m-a,
3387,l-a-gj-e-z-m,l-a-g-z-m-a,
3396,t-u-gj-e-z-m,t-u-g-z-m-a,
3397,tj-i-gj-e-z-m,tj-i-g-z-m-a,
3398,g-z-o-m,g-z-m-a,0.0024101758374240998
3452,g-o-z-m,g-z-m-a,8.3931176106e-06
3453,tj-i-g-z-o-m,tj-i-g-z-m-a,0.0024101758374240998
3481,r-u-g-o-z-m,r-u-g-z-m-a,8.3931176106e-06
