,GenSR,YerUR,translit,23-sfcost-prod,Sublex_Score
392,sh-a-d-z-m-a,sh-a-d-o_flt-z-m,sh-a-d-o-z-m,0.0025510204081632664,0.0001405101756992
393,d-z-m-a,d-z-e_flt-m,d-zj-e-m,0.027777777777777783,0.0749433119759473
394,l-u-d-z-m-a,l-u-d-z-e_flt-m,l-u-d-zj-e-m,0.01754385964912281,0.1260486401986252
395,k-a-d-z-n-a,k-a-d-z-e_flt-n,k-a-d-zj-e-n,0.03125,0.4740233931270595
396,d-z-n-a,d-z-o_flt-n,d-z-o-n,0.03571428571428572,0.47558048388563356
397,sh-i-d-z-n-a,sh-i-d-z-e_flt-n,sh-i-d-zj-e-n,0.013888888888888892,0.4740233931270595
398,d-z-n-a,d-z-o_flt-n,d-z-o-n,0.03571428571428572,0.47558048388563356
399,d-z-n-a,d-o_flt-z-n,d-o-z-n,0.0020408163265306116,0.0004932060822128
401,d-z-n-a,d-o_flt-z-n,d-o-z-n,0.0020408163265306116,0.0004932060822128
403,r-u-d-z-r-a,r-u-d-z-e_flt-r,r-u-d-zj-e-r,0.019607843137254898,0.02654526338554
404,k-a-d-z-r-a,k-a-d-z-o_flt-r,k-a-d-z-o-r,0.03333333333333333,0.050862560372687896
405,g-u-d-z-r-a,g-u-d-z-e_flt-r,g-u-d-zj-e-r,0.019607843137254898,0.02654526338554
406,gj-i-d-z-r-a,gj-i-d-z-o_flt-r,gj-i-d-z-o-r,0.020833333333333332,0.050862560372687896
407,d-z-r-a,d-z-e_flt-r,d-zj-e-r,0.03125,0.0150828379551884
408,zh-a-d-r-a,zh-a-d-e_flt-r,zh-a-dj-e-r,0.25,0.4740234093239653
409,sh-i-d-r-a,sh-i-d-o_flt-r,sh-i-d-o-r,0.125,0.6666666666666666
410,sj-i-d-r-a,sj-i-d-o_flt-r,sj-i-d-o-r,0.3333333333333333,0.6666666666666666
411,d-r-a,d-e_flt-r,dj-e-r,0.25,0.4740234093239653
412,d-r-a,d-e_flt-r,dj-e-r,0.25,0.4740234093239653
413,d-r-a,d-e_flt-r,dj-e-r,0.25,0.4740234093239653
414,k-u-d-r-a,k-u-d-e_flt-r,k-u-dj-e-r,0.25,0.4740234093239653
415,k-a-d-r-a,k-a-d-o_flt-r,k-a-d-o-r,0.5,0.6666666666666666
416,k-a-d-r-a,k-a-d-o_flt-r,k-a-d-o-r,0.5,0.6666666666666666
417,sh-a-d-r-a,sh-a-d-e_flt-r,sh-a-dj-e-r,0.25,0.4740234093239653
418,m-a-d-r-a,m-a-d-o_flt-r,m-a-d-o-r,0.5,0.6666666666666666
419,sj-i-d-r-a,sj-i-d-o_flt-r,sj-i-d-o-r,0.3333333333333333,0.6666666666666666
420,zh-b-a,zh-o_flt-b,zh-o-b,0.3333333333333333,0.1937635731225528
421,zh-b-a,zh-e_flt-b,zh-e-b,0.2,0.1937635731225528
422,pj-i-zh-b-a,pj-i-zh-o_flt-b,pj-i-zh-o-b,0.25,0.1937635731225528
423,b-u-zh-b-a,b-u-zh-e_flt-b,b-u-zh-e-b,0.1,0.1937635731225528
424,zh-b-a,zh-o_flt-b,zh-o-b,0.3333333333333333,0.1937635731225528
425,t-a-zh-b-a,t-a-zh-o_flt-b,t-a-zh-o-b,0.25,0.1937635731225528
426,r-u-zh-b-a,r-u-zh-o_flt-b,r-u-zh-o-b,0.25,0.1937635731225528
427,b-a-zh-b-a,b-a-zh-e_flt-b,b-a-zh-e-b,0.125,0.1937635731225528
428,lj-i-zh-b-a,lj-i-zh-o_flt-b,lj-i-zh-o-b,0.25,0.1937635731225528
429,b-u-zh-b-v-a,b-u-zh-e_flt-b-v,b-u-zh-e-b-v,0.0008818342151675491,3.0737336658e-06
430,zh-b-v-a,zh-e_flt-b-v,zh-e-b-v,0.0010288065843621407,3.0737336658e-06
431,m-a-zh-b-v-a,m-a-zh-o_flt-b-v,m-a-zh-o-b-v,0.0008928571428571433,3.070846783e-06
432,x-u-zh-b-v-a,x-u-zh-b-o_flt-v,x-u-zh-b-o-v,0.0032894736842105274,0.0279641101564351
433,zh-b-v-a,zh-b-e_flt-v,zh-bj-e-v,0.004504504504504505,0.0157816285544999
434,x-u-zh-b-v-a,x-u-zh-o_flt-b-v,x-u-zh-o-b-v,0.0007763975155279505,3.070846783e-06
435,zh-b-d-a,zh-b-e_flt-d,zh-bj-e-d,0.0005910165484633571,0.0932147230138362
436,zh-b-d-a,zh-b-o_flt-d,zh-b-o-d,0.0006447453255963895,0.1163431207858558
437,zh-a-zh-b-d-a,zh-a-zh-o_flt-b-d,zh-a-zh-o-b-d,9.581297307655454e-05,5.6378401911e-05
438,zh-b-d-a,zh-b-o_flt-d,zh-b-o-d,0.0006447453255963895,0.1163431207858558
439,zh-b-d-a,zh-b-e_flt-d,zh-bj-e-d,0.0005910165484633571,0.0932147230138362
440,zh-v-a,zh-e_flt-v,zh-e-v,0.08333333333333333,0.6666666666666666
441,sh-a-zh-v-a,sh-a-zh-e_flt-v,sh-a-zh-e-v,0.125,0.6666666666666666
442,zh-v-a,zh-o_flt-v,zh-o-v,0.08333333333333333,0.6666666666666666
443,m-a-zh-v-a,m-a-zh-e_flt-v,m-a-zh-e-v,0.125,0.6666666666666666
444,r-u-zh-v-a,r-u-zh-e_flt-v,r-u-zh-e-v,0.08333333333333333,0.6666666666666666
445,zh-v-a,zh-o_flt-v,zh-o-v,0.08333333333333333,0.6666666666666666
446,k-u-zh-v-a,k-u-zh-e_flt-v,k-u-zh-e-v,0.05,0.6666666666666666
447,r-a-zh-v-a,r-a-zh-e_flt-v,r-a-zh-e-v,0.125,0.6666666666666666
448,zh-v-a,zh-o_flt-v,zh-o-v,0.08333333333333333,0.6666666666666666
449,zh-v-a,zh-e_flt-v,zh-e-v,0.08333333333333333,0.6666666666666666
450,kj-i-zh-v-a,kj-i-zh-e_flt-v,kj-i-zh-e-v,0.05,0.6666666666666666
451,zh-v-a,zh-e_flt-v,zh-e-v,0.08333333333333333,0.6666666666666666
452,zh-v-a,zh-e_flt-v,zh-e-v,0.08333333333333333,0.6666666666666666
453,r-u-zh-v-a,r-u-zh-o_flt-v,r-u-zh-o-v,0.125,0.6666666666666666
454,m-a-zh-v-a,m-a-zh-o_flt-v,m-a-zh-o-v,0.125,0.6666666666666666
455,lj-i-zh-v-a,lj-i-zh-o_flt-v,lj-i-zh-o-v,0.125,0.6666666666666666
456,zh-g-a,zh-e_flt-g,zh-e-g,0.1,0.5615023945036023
457,b-a-zh-g-a,b-a-zh-o_flt-g,b-a-zh-o-g,0.125,0.5615023945036023
458,zh-g-a,zh-o_flt-g,zh-o-g,0.1,0.5615023945036023
459,zh-g-a,zh-o_flt-g,zh-o-g,0.1,0.5615023945036023
460,m-a-zh-g-a,m-a-zh-e_flt-g,m-a-zh-e-g,0.125,0.5615023945036023
461,zh-g-a,zh-e_flt-g,zh-e-g,0.1,0.5615023945036023
462,mj-i-zh-g-a,mj-i-zh-e_flt-g,mj-i-zh-e-g,0.04166666666666667,0.5615023945036023
463,zh-g-a,zh-e_flt-g,zh-e-g,0.1,0.5615023945036023
464,zh-g-a,zh-o_flt-g,zh-o-g,0.1,0.5615023945036023
465,sj-i-zh-g-b-a,sj-i-zh-e_flt-g-b,sj-i-zh-e-g-b,0.00013092432573972245,6.925586434440193e-08
466,zh-g-b-a,zh-e_flt-g-b,zh-e-g-b,0.00013446282102998522,6.925586434440193e-08
467,rj-i-zh-g-b-a,rj-i-zh-g-o_flt-b,rj-i-zh-g-o-b,0.0005263157894736843,0.0039850341051068
468,zh-g-v-a,zh-e_flt-g-v,zh-e-g-v,0.0026881720430107516,0.0001451401696522
469,zh-g-v-a,zh-g-e_flt-v,zh-gj-e-v,0.009433962264150941,0.1260874274470654
470,zh-g-v-a,zh-g-e_flt-v,zh-gj-e-v,0.009433962264150941,0.1260874274470654
471,z-u-zh-g-v-a,z-u-zh-g-o_flt-v,z-u-zh-g-o-v,0.004629629629629629,0.2052570165443304
472,n-u-zh-g-v-a,n-u-zh-e_flt-g-v,n-u-zh-e-g-v,0.001792114695340501,0.0001451401696522
473,l-a-zh-g-v-a,l-a-zh-g-o_flt-v,l-a-zh-g-o-v,0.009615384615384614,0.2052570165443304
474,zh-g-v-a,zh-g-e_flt-v,zh-gj-e-v,0.009433962264150941,0.1260874274470654
475,zh-g-v-a,zh-g-o_flt-v,zh-g-o-v,0.009615384615384614,0.2052570165443304
